Datetime	Temp	Hum	Lux	UVI	Rain	Wind	timemin
2022/04/06:22:15:00	25.1	93	0.0	0	0.0	0.0	1335
2022/04/06:22:20:00	25.3	93	0.0	0	0.0	0.0	1340
2022/04/06:22:25:00	25.2	94	0.0	0	0.0	0.0	1345
2022/04/06:22:30:00	24.9	95	0.0	0	0.0	0.0	1350
2022/04/06:22:35:00	24.6	96	0.0	0	0.0	0.0	1355
2022/04/06:22:40:00	24.4	97	0.0	0	0.0	0.0	1360
2022/04/06:22:45:00	24.4	97	0.0	0	0.0	0.0	1365
2022/04/06:22:50:00	24.5	97	0.0	0	0.0	0.0	1370
2022/04/06:22:55:00	24.6	96	0.0	0	0.0	0.0	1375
2022/04/06:23:00:00	24.8	95	0.0	0	0.0	0.0	1380
2022/04/06:23:05:00	24.6	95	0.0	0	0.0	0.0	1385
2022/04/06:23:10:00	24.5	96	0.0	0	0.0	1.8	1390
2022/04/06:23:15:00	24.3	97	0.0	0	0.0	1.8	1395
2022/04/06:23:20:00	24.3	96	0.0	0	0.0	1.8	1400
2022/04/06:23:25:00	24.4	95	0.0	0	0.0	1.8	1405
2022/04/06:23:30:00	24.6	94	0.0	0	0.0	1.8	1410
2022/04/06:23:35:00	24.7	93	0.0	0	0.0	1.8	1415
2022/04/06:23:40:00	24.9	93	0.0	0	0.0	1.8	1420
2022/04/06:23:45:00	24.8	94	0.0	0	0.0	1.8	1425
2022/04/06:23:50:00	24.6	95	0.0	0	0.0	0.0	1430
2022/04/06:23:55:00	24.7	94	0.0	0	0.0	1.8	1435
2022/04/07:00:00:00	24.7	93	0.0	0	0.0	1.8	0
2022/04/07:00:05:00	24.8	93	0.0	0	0.0	1.8	5
2022/04/07:00:10:00	25.0	92	0.0	0	0.0	1.8	10
2022/04/07:00:15:00	25.0	92	0.0	0	0.0	0.0	15
2022/04/07:00:20:00	24.7	97	0.0	0	0.0	0.0	20
2022/04/07:00:25:00	24.2	99	0.0	0	0.0	0.0	25
2022/04/07:00:30:00	24.4	97	0.0	0	0.0	0.0	30
2022/04/07:00:35:00	24.3	98	0.0	0	0.0	0.0	35
2022/04/07:00:40:00	24.2	98	0.0	0	0.0	0.0	40
2022/04/07:00:45:00	24.2	98	0.0	0	0.0	0.0	45
2022/04/07:00:50:00	24.0	98	0.0	0	0.0	0.0	50
2022/04/07:00:55:00	24.1	98	0.0	0	0.0	0.0	55
2022/04/07:01:00:00	24.0	98	0.0	0	0.0	0.0	60
2022/04/07:01:05:00	23.9	98	0.0	0	0.0	0.0	65
2022/04/07:01:10:00	24.0	98	0.0	0	0.0	0.0	70
2022/04/07:01:15:00	23.8	99	0.0	0	0.0	0.0	75
2022/04/07:01:20:00	23.7	99	0.0	0	0.0	0.0	80
2022/04/07:01:25:00	23.8	99	0.0	0	0.0	0.0	85
2022/04/07:01:30:00	23.8	99	0.0	0	0.0	0.0	90
2022/04/07:01:35:00	23.7	99	0.0	0	0.0	0.0	95
2022/04/07:01:40:00	23.6	99	0.0	0	0.0	0.0	100
2022/04/07:01:45:00	23.5	99	0.0	0	0.0	0.0	105
2022/04/07:01:50:00	23.5	99	0.0	0	0.0	0.0	110
2022/04/07:01:55:00	23.6	99	0.0	0	0.0	0.0	115
2022/04/07:02:00:00	23.7	99	0.0	0	0.0	0.0	120
2022/04/07:02:05:00	23.9	99	0.0	0	0.0	0.0	125
2022/04/07:02:10:00	23.8	99	0.0	0	0.0	0.0	130
2022/04/07:02:15:00	23.7	99	0.0	0	0.0	0.0	135
2022/04/07:02:20:00	23.7	99	0.0	0	0.0	0.0	140
2022/04/07:02:25:00	23.6	99	0.0	0	0.0	0.0	145
2022/04/07:02:30:00	23.7	99	0.0	0	0.0	0.0	150
2022/04/07:02:35:00	23.9	99	0.0	0	0.0	0.0	155
2022/04/07:02:40:00	24.0	99	0.0	0	0.0	0.0	160
2022/04/07:02:45:00	24.0	99	0.0	0	0.0	0.0	165
2022/04/07:02:50:00	23.9	99	0.0	0	0.0	1.8	170
2022/04/07:02:55:00	23.9	99	0.0	0	0.0	0.0	175
2022/04/07:03:00:00	24.0	99	0.0	0	0.0	0.0	180
2022/04/07:03:05:00	24.0	99	0.0	0	0.0	0.0	185
2022/04/07:03:10:00	24.0	99	0.0	0	0.0	0.0	190
2022/04/07:03:15:00	23.8	99	0.0	0	0.0	0.0	195
2022/04/07:03:20:00	23.6	99	0.0	0	0.0	0.0	200
2022/04/07:03:25:00	23.5	99	0.0	0	0.0	0.0	205
2022/04/07:03:30:00	23.7	99	0.0	0	0.0	0.0	210
2022/04/07:03:35:00	23.8	99	0.0	0	0.0	0.0	215
2022/04/07:03:40:00	24.0	99	0.0	0	0.0	0.0	220
2022/04/07:03:45:00	23.9	99	0.0	0	0.0	0.0	225
2022/04/07:03:50:00	23.9	99	0.0	0	0.0	0.0	230
2022/04/07:03:55:00	23.9	99	0.0	0	0.0	0.0	235
2022/04/07:04:00:00	23.9	99	0.0	0	0.0	0.0	240
2022/04/07:04:05:00	23.9	99	0.0	0	0.0	0.0	245
2022/04/07:04:10:00	24.0	99	0.0	0	0.0	1.8	250
2022/04/07:04:15:00	24.0	99	0.0	0	0.0	1.8	255
2022/04/07:04:20:00	23.9	99	0.0	0	0.0	1.8	260
2022/04/07:04:25:00	24.0	99	0.0	0	0.0	0.0	265
2022/04/07:04:30:00	24.0	99	0.0	0	0.0	0.0	270
2022/04/07:04:35:00	23.9	99	0.0	0	0.0	1.8	275
2022/04/07:04:40:00	23.9	99	0.0	0	0.0	1.8	280
2022/04/07:04:45:00	24.0	99	0.0	0	0.0	1.8	285
2022/04/07:04:50:00	24.1	99	0.0	0	0.0	0.0	290
2022/04/07:04:55:00	24.2	99	0.0	0	0.0	1.8	295
2022/04/07:05:00:00	24.2	99	0.0	0	0.0	0.0	300
2022/04/07:05:05:00	24.2	99	0.0	0	0.0	0.0	305
2022/04/07:05:10:00	24.1	99	0.0	0	0.0	0.0	310
2022/04/07:05:15:00	24.0	99	0.0	0	0.0	0.0	315
2022/04/07:05:20:00	23.9	99	0.0	0	0.0	1.8	320
2022/04/07:05:25:00	23.8	99	0.0	0	0.0	0.0	325
2022/04/07:05:30:00	23.8	99	0.0	0	0.0	0.0	330
2022/04/07:05:35:00	23.8	99	0.0	0	0.0	1.8	335
2022/04/07:05:40:00	23.7	99	0.0	0	0.0	1.8	340
2022/04/07:05:45:00	23.7	99	0.0	0	0.0	1.8	345
2022/04/07:05:50:00	23.7	99	0.0	0	0.0	1.8	350
2022/04/07:05:55:00	23.7	99	2.5	0	0.0	0.0	355
2022/04/07:06:00:00	23.6	99	15.2	0	0.0	1.8	360
2022/04/07:06:05:00	23.7	99	64.6	0	0.0	1.8	365
2022/04/07:06:10:00	23.7	99	126.7	0	0.0	0.0	370
2022/04/07:06:15:00	23.8	99	338.3	0	0.0	1.8	375
2022/04/07:06:20:00	23.9	99	695.6	0	0.0	1.8	380
2022/04/07:06:25:00	24.1	99	1003.5	0	0.0	0.0	385
2022/04/07:06:30:00	24.2	99	1406.4	0	0.0	0.0	390
2022/04/07:06:35:00	24.3	99	1813.1	0	0.0	1.8	395
2022/04/07:06:40:00	24.3	99	2155.2	0	0.0	0.0	400
2022/04/07:06:45:00	24.3	99	2814.0	0	0.0	1.8	405
2022/04/07:06:50:00	24.3	99	3281.5	0	0.0	0.0	410
2022/04/07:06:55:00	24.3	99	3822.5	0	0.0	0.0	415
2022/04/07:07:00:00	24.3	99	4565.0	0	0.0	0.0	420
2022/04/07:07:05:00	24.4	99	4717.0	0	0.0	0.0	425
2022/04/07:07:10:00	24.5	99	5089.5	0	0.0	0.0	430
2022/04/07:07:15:00	24.6	99	5610.3	0	0.0	0.0	435
2022/04/07:07:20:00	24.7	99	5767.4	0	0.0	0.0	440
2022/04/07:07:25:00	24.7	99	10704.9	0	0.0	0.0	445
2022/04/07:07:30:00	24.8	99	16966.4	1	0.0	0.0	450
2022/04/07:07:35:00	25.4	99	14831.5	1	0.0	1.8	455
2022/04/07:07:40:00	25.8	99	9586.1	0	0.0	0.0	460
2022/04/07:07:45:00	26.1	99	19011.3	1	0.0	0.0	465
2022/04/07:07:50:00	26.4	97	24250.4	1	0.0	3.5	470
2022/04/07:07:55:00	26.9	95	25979.8	1	0.0	1.8	475
2022/04/07:08:00:00	27.3	92	24574.7	1	0.0	7.2	480
2022/04/07:08:05:00	27.4	91	32995.2	2	0.0	3.5	485
2022/04/07:08:10:00	27.8	90	33376.6	2	0.0	5.5	490
2022/04/07:08:15:00	28.2	90	22403.1	1	0.0	3.5	495
